Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Spawn_Radius_M
2801,0.0,0.9879,0.0,False,False,3.775,0.2492,3.0473,-3.934,-3.1317,0.4966,0.0,-0.0,-0.0023,-0.0156,0.0013,-0.0598,0.3678,-0.1251,0.6289,0.8293,0.802,-0.26,0.01,0.0773,-0.0405,-0.0232,-0.0661,-0.0264,-0.0775,1.8422,0.0
2901,0.0,0.9918,0.0,False,False,3.7926,0.2493,3.0474,-3.933,-3.1308,0.53,0.0002,0.001,-0.0015,-0.0077,-0.0008,-0.0107,0.2942,-0.1309,0.6245,0.8258,0.802,-0.26,0.01,-0.0009,-0.056,0.0098,0.0721,0.0379,-0.0052,0.0199,0.0
3001,0.0,1.2039,-0.2864,False,False,2.0693,-1.5178,2.1543,-1.9195,-1.6401,-0.0094,0.2379,-0.0346,1.1025,-3.1529,-0.4716,1.9485,-0.055,-0.2775,0.8216,0.8294,0.802,-0.26,0.01,0.0676,0.0363,0.0679,-0.0779,-0.0597,-0.0275,-1.6347,0.0
3101,0.0,1.0177,0.0,False,False,3.4641,0.2492,3.0412,-3.9719,-3.1315,3.7355,0.0027,0.0003,0.0066,0.0367,-0.0066,0.039,0.3625,-0.1515,0.6451,0.8079,0.802,-0.26,0.01,-0.0321,-0.0329,-0.0198,-0.0673,0.0326,-0.029,1.1783,0.0
3201,0.0,1.0167,-0.003,False,False,3.4751,0.2491,3.036,-4.0011,-3.1285,3.6945,-0.0022,0.0003,-0.0028,-0.0137,0.0163,-0.0133,0.3261,-0.1504,0.6454,0.8086,0.802,-0.26,0.01,0.034,0.0438,0.0002,0.0696,0.0102,-0.0289,1.7118,0.0
3301,0.0,1.0129,0.0,False,False,3.4783,0.2491,3.0344,-4.01,-3.128,3.6921,0.0,0.0041,-0.0006,-0.007,0.0216,0.0171,0.2105,-0.1463,0.6454,0.8103,0.802,-0.26,0.01,0.0703,-0.0174,-0.0648,0.0179,-0.0649,0.0356,-2.3167,0.0
3401,0.0,1.0095,0.0,False,False,3.4514,0.2491,3.035,-4.0064,-3.1284,3.6975,0.0007,0.0002,-0.0027,-0.012,-0.0007,-0.031,0.1624,-0.141,0.6498,0.8111,0.802,-0.26,0.01,0.0002,-0.0083,0.0244,0.0656,-0.0761,0.0531,-2.1848,0.0
3501,0.0,1.1772,-0.1532,False,False,2.0625,-1.5784,2.1648,-1.8047,-1.6316,0.0282,0.3529,-0.1575,1.0585,2.7748,-0.2488,0.2034,0.0032,-0.2611,0.793,0.8426,0.802,-0.26,0.01,0.066,-0.0749,0.0726,0.0536,-0.0607,0.0341,-1.5073,0.0
3601,0.0,0.9581,0.0,False,False,3.3904,0.2497,3.0748,-3.7683,-3.1134,0.8535,0.354,0.0014,-0.0972,-0.719,-0.0593,-1.7017,0.2375,-0.0753,0.6738,0.821,0.802,-0.26,0.01,0.0625,-0.0674,0.037,-0.0667,0.0139,-0.0684,-0.3757,0.0
3701,0.0,0.9608,0.0,False,False,3.444,0.2494,3.0556,-3.8843,-3.1328,0.4914,0.2442,0.0003,0.0141,0.0749,0.0109,0.133,0.5368,-0.0806,0.667,0.836,0.802,-0.26,0.01,0.0726,-0.0559,0.0407,0.0501,0.0714,-0.0505,-0.6068,0.0
